timestamp,ax,ay,az,gx,gy,gz
0,0.239014,-0.427612,1.223389,110.473625,81.603996,-46.752926
17,0.241455,-0.47168,1.217773,114.19677,78.430176,-30.700682
33,0.258301,-0.466797,1.205078,108.64257,75.012207,-19.897461
49,0.266602,-0.417603,1.141968,111.877434,64.331055,-2.502441
66,0.266235,-0.407959,1.097534,123.535149,48.095699,8.789063
82,0.269775,-0.35437,1.008423,120.788567,36.92627,11.840819
98,0.298828,-0.332153,0.961304,107.177727,16.296387,11.779784
114,0.337891,-0.391357,0.909668,100.158684,7.690429,11.291503
131,0.311646,-0.385254,0.889648,95.825188,-5.004883,14.526366
150,0.313232,-0.345947,0.882202,120.300285,-7.995605,20.874022
168,0.373901,-0.341797,0.849731,147.583008,3.417969,17.028809
186,0.470703,-0.414551,0.755493,125.732414,10.803222,7.385253
205,0.539185,-0.452271,0.65271,105.224602,7.751464,6.225585
222,0.590698,-0.413086,0.594849,76.782227,-8.422852,15.014647
241,0.602661,-0.381714,0.588867,76.293945,-26.855467,29.602049
259,0.589478,-0.372559,0.579224,99.304192,-35.522461,39.18457
277,0.592773,-0.359619,0.524536,124.816887,-30.822752,42.175289
297,0.643066,-0.389038,0.471191,134.460449,-19.470215,43.090816
315,0.661865,-0.458496,0.435669,130.493164,-15.075683,43.273922
334,0.671753,-0.454224,0.415405,107.116692,-13.122558,45.349117
353,0.66748,-0.468262,0.412476,77.270508,-15.441894,50.048824
371,0.648682,-0.467651,0.440063,55.175777,-16.967773,48.156734
390,0.658325,-0.456665,0.45105,46.081539,-12.512206,42.358395
407,0.685425,-0.440552,0.456177,31.738279,-6.408691,41.992184
426,0.708496,-0.389648,0.4646,26.000975,-4.821777,41.687008
445,0.713135,-0.379639,0.473633,19.775391,-6.896972,36.560059
463,0.693481,-0.402222,0.506958,17.883301,-16.235352,26.367186
481,0.682129,-0.414795,0.532227,9.277344,-26.245115,13.305663
498,0.657593,-0.447144,0.574463,-5.065917,-25.329588,-5.371093
517,0.641602,-0.475952,0.575439,-12.08496,-19.775391,-13.793944
535,0.632324,-0.482422,0.565186,-26.733397,-7.8125,-21.301268
553,0.63623,-0.468018,0.573608,-32.592773,-4.272461,-20.690916
570,0.639771,-0.476562,0.583374,-18.676758,-10.620116,-17.63916
588,0.641235,-0.511597,0.611694,-9.70459,-15.86914,-15.563964
606,0.623047,-0.528809,0.638306,4.02832,-24.536131,-9.887695
623,0.592896,-0.55249,0.651611,11.840819,-26.06201,-3.662109
641,0.580322,-0.560791,0.650879,6.652832,-21.362303,0.061035
658,0.56958,-0.559937,0.635498,-1.586914,-17.51709,1.098633
