start_time,end_time
4.5,5.5
7.2,8.2
9.4,10.4
12.1,13.1
14.5,15.4
16.6,17.6
18.8,19.8
20.9,21.9
23.4,24.3
25.1,26
27.3,28.2
29.1,30
31,31.8
32.7,33.5
34.7,35.4
36.6,37.3
38.6,39.4
40.4,41.4
42.5,43.4
44.5,45.3
46.4,47.2
48.4,49.1
50.5,51.3
52.2,53
53.9,54.8
55.6,56.5
57.8,58.5
59.5,60.2
61.3,62.2
63.3,64.1
65.3,66.1
67.2,68
69.2,69.9
70.8,71.5
72.5,73.3
74.6,75.3
76.3,77
78.1,78.8
79.8,80.6
81.6,82.4
83.7,84.5
85.6,86.3
87.2,87.9
89.2,89.9
90.9,91.6
93.2,93.8
95.1,95.8
96.8,97.6
98.6,99.4
100.6,101.4
102.4,103.3
104.4,105.1
106.3,107.2
108.4,109.1
110.8,111.5
112.6,113.4
114.4,115.2
116.5,117.2
118.3,119
120,120.7
121.9,122.6
123.7,124.4
125.5,126.2
127.6,128.4
129.6,130.3
131.6,132.3
133.7,134.4
135.9,136.7
138.1,138.8
140.3,141
142.4,143
144.4,145.1
146.4,147.1
148.3,149.2
150.5,151.3
152.3,153.1
153.9,154.7
155.9,156.6
157.8,158.5
160,160.7
161.9,162.5
163.9,164.6
165.9,166.6
168.4,169.1
170.3,171
172.3,173.3
174.4,175.2
176.4,177.1
178.6,179.3
180.7,181.5
183.2,183.9
184.9,185.6
187.1,187.8
189.6,190.5
191.6,192.3
194.2,194.9
196,196.8
198,198.9
200,200.8
202.2,203
204.1,204.9
206.1,206.9
208.2,208.9
210.4,211.1
212.4,213.2
214.3,215.1
216.4,217.2
218.5,219.3
220.5,221.3
222.6,223.2
224.5,225.3
226.7,227.5
228.6,229.4
230.8,231.5
232.7,233.5
234.9,235.6
236.8,237.6
238.9,239.7
240.9,241.7
243,243.7
245.1,245.8
247.1,247.8
249.1,249.8
251.3,252
253.2,253.9
255.3,256
257.4,258.1
259.4,260.1
261.3,262.1
263.4,264.1
265.6,266.3
267.6,268.3
269.6,270.3
271.6,272.4
273.6,274.4
275.7,276.4
277.8,278.5
279.8,280.6
281.7,282.4
283.9,284.7
285.9,286.6
288,288.8
290,290.7
292,292.7
294.1,294.8
296.1,296.8
298.2,298.9
300.2,300.9
302.1,302.8
304.1,304.8
306.3,307
308.3,309
310.2,311
312.2,312.8
314.1,314.7
315.9,316.5
317.9,318.6
320.1,320.8
321.8,322.6
323.8,324.5
325.7,326.4
327.6,328.3
