start_time,end_time
2.4,3.4
4.2,5.2
5.9,6.9
7.5,8.5
9.2,10.2
10.8,11.7
12.4,13.3
14,15
15.6,16.5
17,17.9
18.6,19.5
20.1,21
21.6,22.5
23.1,24
24.6,25.5
26.1,26.9
27.5,28.4
28.9,29.8
30.2,31.2
31.6,32.6
32.9,33.9
34.3,35.3
35.7,36.7
37,38
38.4,39.4
39.9,40.9
41.2,42.2
42.7,43.8
44.1,45.1
45.5,46.5
46.8,47.9
48.2,49.3
49.7,50.7
51,52
52.4,53.4
53.8,54.8
55.3,56.3
56.7,57.8
58.1,59
59.5,60.5
60.9,61.9
62.3,63.4
63.8,64.7
65.2,66.2
66.5,67.5
68,69
69.4,70.4
70.8,71.8
72.2,73.2
73.6,74.6
74.9,75.9
76.3,77.4
77.8,78.7
79,79.9
80.4,81.3
81.8,82.7
83.1,84.1
84.5,85.6
85.9,87
87.3,88.3
88.7,89.6
90.5,91.5
92.2,93.1
93.7,94.6
95.1,96.1
96.5,97.4
97.8,98.8
99.2,100.2
100.6,101.6
102,103
103.5,104.5
105.1,106.1
106.6,107.6
108.1,109.1
109.6,110.6
111.2,112.3
112.8,113.9
114.3,115.5
115.9,117
117.3,118.3
118.8,119.8
120.2,121.2
121.5,122.6
123,124
124.4,125.5
125.9,126.9
127.4,128.4
128.8,129.8
130.2,131.2
131.7,132.6
133.2,134.1
134.6,135.6
136.1,137.1
137.5,138.6
139,140
140.4,141.5
141.8,142.9
143.3,144.4
144.7,145.8
146.2,147.2
147.7,148.6
149.2,150.1
150.5,151.5
152,153.1
153.5,154.5
155,156.1
156.5,157.5
158,159
159.5,160.6
161.1,162.1
162.6,163.6
164.1,165.1
165.5,166.6
167,168
168.4,169.4
169.9,170.9
171.3,172.3
172.7,173.8
174.2,175.2
175.6,176.6
176.9,178
178.4,179.4
179.7,180.9
181.2,182.1
182.6,183.6
184,185
185.5,186.5
