timestamp,ax,ay,az,gx,gy,gz
0,-0.020996,-0.158813,1.265137,13.244628,74.768066,-26.855467
17,-0.043213,-0.255859,1.333984,52.551266,94.177238,-35.644531
34,-0.011353,-0.307861,1.363525,80.810539,92.285149,-36.560059
51,-0.020142,-0.352173,1.4104,100.097649,93.139641,-30.151365
68,-0.021851,-0.394165,1.390991,107.482903,97.839348,-26.794432
85,-0.009399,-0.425781,1.338135,106.262199,110.41259,-20.751951
102,0.064209,-0.437866,1.190796,83.862297,116.516106,-9.765625
119,0.137939,-0.38623,1.070557,67.993164,111.938469,-1.220703
136,0.223267,-0.336426,1.005127,41.320797,94.055168,17.333984
153,0.269043,-0.319946,1.002686,31.005857,81.603996,23.315428
170,0.306396,-0.28186,0.970581,32.836914,79.284668,20.080564
189,0.32312,-0.278931,0.906372,51.269527,80.383293,12.390136
206,0.327515,-0.296997,0.859863,75.378418,85.815422,11.596679
223,0.35022,-0.371582,0.755737,77.453613,100.646965,17.76123
239,0.411987,-0.396973,0.661499,65.246582,108.093254,21.423338
256,0.466553,-0.363159,0.617065,41.687008,114.19677,26.18408
273,0.568359,-0.369751,0.545044,31.188963,110.961906,27.221678
289,0.603882,-0.408203,0.518311,27.893064,108.215324,27.709959
306,0.603149,-0.384521,0.500854,24.780272,105.712883,33.508301
323,0.621094,-0.340088,0.475586,25.573729,104.980461,40.52734
340,0.693848,-0.321167,0.429199,27.709959,106.262199,42.297359
357,0.712769,-0.307251,0.396851,22.888182,114.135735,41.137691
374,0.723022,-0.283691,0.334595,10.437011,115.844719,32.043457
391,0.758057,-0.275269,0.311279,8.911133,110.107414,23.925779
408,0.76709,-0.28125,0.281494,13.671874,96.67968,7.8125
425,0.771851,-0.289429,0.257813,16.235352,92.590324,1.464844
442,0.792603,-0.288208,0.214111,13.061522,91.918938,1.220703
459,0.82373,-0.291382,0.196167,8.605957,87.951653,0.488281
476,0.843018,-0.293091,0.192505,9.216309,77.697754,-1.342773
493,0.872803,-0.285767,0.178101,7.446289,71.350098,-1.953125
510,0.890625,-0.265137,0.169434,1.159668,57.495113,-3.845215
527,0.894165,-0.252075,0.163696,-5.92041,44.799801,-7.324218
544,0.903442,-0.234619,0.155151,-10.131835,39.367676,-9.521484
561,0.916626,-0.217041,0.149048,-13.671874,28.320311,-14.892577
578,0.917969,-0.232666,0.155273,-8.728027,19.65332,-20.080564
595,0.906006,-0.268799,0.158203,-7.080078,16.540527,-24.963377
613,0.924316,-0.300537,0.145142,-8.300781,17.272949,-26.672361
630,1.015137,-0.340454,0.129517,-10.742187,18.676758,-25.817869
647,1.074829,-0.35791,0.121582,-8.850098,13.732909,-18.188477
664,1.150635,-0.388672,0.126587,-6.530761,10.0708,-12.145995
681,1.104492,-0.380737,0.173218,-0.427246,-0.061035,2.075195
698,1.053223,-0.358398,0.196411,4.882812,-9.460449,14.282226
716,0.952393,-0.319336,0.260132,8.605957,-14.709472,20.996092
733,0.858276,-0.309692,0.313843,9.643555,-14.587401,21.423338
750,0.778198,-0.311646,0.341919,6.04248,-11.352538,15.136718
766,0.750366,-0.32019,0.351074,3.112793,-4.394531,4.638672
784,0.755249,-0.337891,0.353394,3.967285,0.12207,0.793457
801,0.812256,-0.355835,0.330444,7.8125,7.690429,-2.258301
819,0.852295,-0.360962,0.316528,13.916015,9.58252,-0.488281
837,0.948975,-0.361572,0.294556,20.935057,6.469726,4.943848
