start_time,end_time
3.8,6.6
7.7,10.4
11.5,14.5
15.8,18.9
20.2,23.2
24.8,27.6
28.9,31.7
32.9,35.8
37.1,39.8
40.9,43.8
44.9,47.7
49,51.7
52.8,55.7
56.9,59.7
61.1,63.9
65.4,68.3
70,72.8
74.3,77.4
78.5,81.4
82.6,85.5
86.8,89.9
90.9,93.9
95,98
99.1,102.1
103.2,106.3
107.7,110.7
111.9,115
116.4,119.4
120.7,123.7
125.1,128
129.3,132.5
133.9,136.8
138,141
142.3,145.1
146.6,149.6
151.3,154.2
155.8,158.7
160.3,163.3
164.8,167.7
169.5,172.5
174,176.8
178.1,180.9
182.4,185.5
187,189.9
191.5,194.5
196.3,199.3
201.1,203.8
205.5,208.3
210,212.8
214.3,217
