ax,ay,az,gx,gy,gz,label
0.236816,-0.127075,0.935181,-2.13623,5.92041,7.446289,junk
0.245239,-0.113403,0.946045,-2.624511,4.150391,8.117676,junk
0.24646,-0.102539,0.945923,-0.610352,3.417969,6.530761,junk
0.245117,-0.100708,0.945923,1.037598,4.272461,6.16455,junk
0.248657,-0.100342,0.943481,1.342773,4.943848,6.225585,junk
0.256226,-0.100952,0.933472,1.89209,5.310058,4.760742,junk
0.255859,-0.116577,0.939209,0.488281,2.807617,2.563476,junk
0.252441,-0.123657,0.944702,-2.197266,0.732422,2.685547,junk
0.250732,-0.123169,0.949219,-1.708984,-0.854492,1.953125,junk
0.249512,-0.129395,0.951782,-1.647949,-1.831055,1.525879,junk
0.250366,-0.134644,0.956543,-1.831055,-3.967285,1.281738,junk
0.247559,-0.140503,0.961182,-1.708984,-4.760742,1.953125,junk
0.245605,-0.144531,0.962036,-2.502441,-3.967285,2.01416,junk
0.24292,-0.145264,0.960449,-2.868652,-3.479004,2.01416,junk
0.248779,-0.137939,0.960083,-2.807617,-2.929687,2.685547,junk
0.253052,-0.140503,0.958618,-1.037598,-3.479004,3.295898,junk
0.250366,-0.141357,0.959595,-0.183105,-4.333496,3.784179,junk
0.245117,-0.130371,0.963257,-0.183105,-4.394531,4.272461,junk
0.245239,-0.119263,0.961304,0.366211,-4.02832,4.333496,junk
0.247437,-0.119263,0.962158,1.403808,-5.004883,3.662109,junk
0.246948,-0.120239,0.967529,0.915527,-5.493164,3.662109,junk
0.242554,-0.116089,0.970703,0.183105,-5.187988,3.723144,junk
0.244385,-0.112793,0.973999,-0.488281,-5.004883,3.234863,junk
0.244751,-0.108643,0.979004,0.12207,-5.371093,2.502441,junk
0.23999,-0.103882,0.990479,0.854492,-4.211426,1.647949,junk
0.239502,-0.099243,0.991089,0.549316,-2.929687,1.281738,junk
0.240356,-0.101563,0.986328,0.915527,-0.183105,0.549316,junk
0.243408,-0.106323,0.977905,2.319336,1.159668,-0.732422,junk
0.244629,-0.112183,0.974487,2.197266,0.854492,-2.01416,junk
0.244751,-0.123413,0.97998,0.610352,-0.793457,-2.441406,junk
0.242554,-0.121704,0.984131,0.0,-1.159668,-2.258301,junk
0.243652,-0.119629,0.9823,0.732422,-0.915527,-2.380371,junk
0.241455,-0.131348,0.979492,2.441406,-0.183105,-3.051758,junk
0.238892,-0.136841,0.978271,2.380371,0.732422,-2.990722,junk
0.240967,-0.140259,0.976807,2.13623,1.098633,-2.441406,junk
0.244019,-0.143066,0.967407,1.708984,1.159668,-1.647949,junk
0.244507,-0.145264,0.96106,0.671387,-0.183105,-1.037598,junk
0.243652,-0.147705,0.962524,-0.061035,-1.831055,-0.12207,junk
0.242065,-0.142822,0.966675,-1.037598,-2.502441,0.244141,junk
0.237427,-0.133545,0.974609,-2.990722,-3.356933,0.061035,junk
0.230713,-0.138184,0.981812,-3.112793,-3.356933,0.12207,junk
0.230103,-0.136719,0.985352,-2.563476,-2.990722,0.915527,junk
0.229492,-0.130371,0.986816,-2.319336,-2.990722,1.159668,junk
0.22229,-0.125488,0.983521,-1.770019,-2.868652,0.854492,junk
0.21936,-0.121948,0.982178,-1.220703,-2.075195,0.366211,junk
0.218384,-0.116455,0.97937,-0.854492,-1.647949,0.244141,junk
0.213623,-0.11499,0.976929,-0.366211,-1.037598,-0.061035,junk
0.212158,-0.112671,0.974976,-0.244141,-0.12207,-0.976562,junk
0.212158,-0.107544,0.968872,0.244141,0.671387,-1.342773,junk
0.214233,-0.1073,0.964722,2.319336,1.831055,-1.708984,junk
0.221313,-0.110596,0.956421,3.356933,1.831055,-1.770019,junk
0.223511,-0.115112,0.953857,4.394531,0.427246,-2.319336,junk
0.223633,-0.116943,0.9552,3.173828,-1.342773,-2.319336,junk
0.220703,-0.111572,0.955811,2.197266,-1.586914,-1.770019,junk
0.22168,-0.105835,0.950317,1.281738,-1.464844,-1.281738,junk
0.224243,-0.10791,0.949707,2.807617,-3.234863,-2.258301,junk
0.227661,-0.123901,0.958374,3.601074,-4.394531,-2.685547,junk
0.226929,-0.134888,0.964844,2.868652,-5.981445,-2.258301,junk
0.227783,-0.136475,0.970581,0.793457,-6.469726,-1.098633,junk
0.232666,-0.129761,0.981812,-0.305176,-6.591796,-0.854492,junk
0.23291,-0.127563,0.987671,-0.793457,-7.080078,-0.549316,junk
0.231567,-0.134521,1.001831,-0.610352,-6.896972,-0.061035,junk
0.230469,-0.136597,1.006958,-1.831055,-5.371093,1.037598,junk
