timestamp,ax,ay,az,gx,gy,gz
79,0.183350,-0.297607,0.933228,-7.629394,-3.051758,-4.882812
90,0.181641,-0.299927,0.950317,-8.605957,-4.394531,-5.432128
102,0.180176,-0.298706,0.967651,-8.728027,-5.981445,-5.798339
113,0.177612,-0.299194,0.976929,-3.356933,-7.446289,-5.981445
124,0.173950,-0.308228,0.976685,-1.037598,-6.286621,-6.347656
135,0.172607,-0.323853,0.970825,-0.427246,-4.516602,-6.835937
147,0.168945,-0.340698,0.958374,-1.953125,-2.685547,-7.446289
158,0.168335,-0.342163,0.953491,-4.760742,-1.281738,-7.690429
169,0.164551,-0.336182,0.950073,-7.629394,0.000000,-7.263183
180,0.161743,-0.328491,0.949097,-8.728027,0.976562,-6.774902
192,0.161987,-0.327637,0.953125,-6.469726,1.159668,-6.347656
203,0.161011,-0.341064,0.961548,-0.183105,0.305176,-5.981445
214,0.157959,-0.357178,0.970703,-0.244141,1.037598,-5.737304
225,0.157593,-0.362061,0.977417,-1.708984,2.563476,-5.310058
237,0.161743,-0.356079,0.979248,-2.319336,4.089355,-4.882812
248,0.165527,-0.350708,0.974609,-1.342773,5.249023,-4.272461
259,0.165894,-0.353027,0.967163,0.366211,6.347656,-3.479004
270,0.170898,-0.357788,0.958252,2.502441,7.263183,-2.685547
281,0.179565,-0.369507,0.953735,5.187988,7.446289,-1.708984
293,0.182617,-0.378296,0.948975,6.408691,6.958007,-0.488281
304,0.182861,-0.380249,0.936890,1.525879,5.493164,1.586914
315,0.185669,-0.380005,0.924194,0.061035,4.089355,2.502441
326,0.187378,-0.381592,0.921143,-2.380371,2.868652,3.356933
337,0.190796,-0.376831,0.927490,-5.065917,2.136230,4.211426
349,0.190674,-0.346191,0.943481,-6.713867,1.403808,5.310058
360,0.192993,-0.336304,0.942139,-7.995605,0.183105,6.164550
371,0.198853,-0.328491,0.938843,-9.399414,-1.159668,6.347656
382,0.203247,-0.320190,0.937378,-10.681151,-2.258301,6.286621
394,0.202148,-0.316040,0.937744,-11.352538,-2.807617,6.042480
405,0.198975,-0.315430,0.936768,-11.901855,-2.990722,4.821777
416,0.191162,-0.316284,0.931641,-12.268065,-3.173828,4.272461
427,0.181519,-0.319946,0.927490,-12.878417,-2.929687,4.150391
439,0.171875,-0.319214,0.945068,-13.427733,-1.953125,4.760742
450,0.169800,-0.309937,0.957031,-12.817382,-0.122070,5.920410
461,0.170532,-0.300415,0.964111,-10.681151,1.953125,6.774902
472,0.173706,-0.296631,0.967285,-7.812500,3.723144,6.713867
484,0.178467,-0.298462,0.969971,-5.676269,4.821777,5.737304
495,0.183472,-0.300903,0.972290,-7.385253,6.042480,2.563476
506,0.187378,-0.300659,0.969116,-9.399414,5.981445,1.159668
517,0.190674,-0.300171,0.959106,-10.192870,4.943848,0.183105
528,0.190430,-0.303955,0.950073,-9.948730,2.929687,-0.488281
540,0.182495,-0.297852,0.945435,-9.155273,0.305176,-1.220703
551,0.180176,-0.282104,0.946167,-7.934570,-2.380371,-1.892090
562,0.179199,-0.267700,0.950439,-5.737304,-4.150391,-2.441406
573,0.183350,-0.258789,0.954712,-2.441406,-3.723144,-2.563476
585,0.190674,-0.255493,0.956055,1.037598,-1.098633,-2.319336
596,0.199829,-0.252563,0.952026,3.417969,5.676269,-1.892090
607,0.211182,-0.250122,0.941895,1.281738,7.568359,-2.319336
618,0.221924,-0.251709,0.929932,-2.624511,8.117676,-3.173828
630,0.227661,-0.254517,0.920898,-7.080078,7.812500,-4.028320
641,0.225220,-0.254028,0.906982,-9.826660,6.896972,-4.333496
652,0.222534,-0.249512,0.904053,-10.314940,5.310058,-4.211426
663,0.221924,-0.243774,0.904785,-9.765625,3.295898,-4.150391
674,0.223389,-0.236938,0.902832,-8.544922,1.281738,-4.394531
686,0.227783,-0.233765,0.899048,-6.713867,-0.183105,-5.187988
697,0.231812,-0.243408,0.895386,-5.004883,-1.342773,-8.117676
