start_time,end_time
2.5,3.2
4.7,5.3
6.5,7.2
8.3,9.1
9.9,10.7
11.3,12.1
13.4,14
15.2,15.8
17,17.7
18.7,19.4
20.4,21
21.8,22.6
23.4,24.5
24.8,25.7
26.4,27
27.8,28.4
29.2,29.9
30.9,31.6
32.5,33.1
34.3,34.9
35.8,36.5
37.5,38.2
39.2,39.9
40.7,41.4
44.1,44.8
45.7,46.3
47.1,47.8
48.8,49.4
50.4,51
52,52.6
53.5,54.1
54.9,55.6
56.3,56.9
57.7,58.3
59.2,59.8
60.8,61.4
62.3,62.9
63.9,64.5
65.3,65.9
66.8,67.4
68.3,68.9
69.7,70.4
71.2,71.9
72.8,73.4
74.2,74.9
75.5,76.1
76.8,77.4
78.1,78.7
79.4,80.1
80.8,81.4
82.3,82.9
83.7,84.3
85.1,85.7
86.4,87
87.8,88.4
89.2,89.8
90.4,91
91.7,92.2
92.9,93.5
94.2,94.8
95.5,96
96.6,97.1
97.8,98.5
99.1,99.6
100.3,100.9
101.5,102.1
102.6,103.2
103.7,104.3
104.9,105.5
106,106.6
107.2,107.8
108.4,109
109.6,110.2
110.7,111.3
112,112.5
113.2,113.7
114.3,115
115.5,116.1
116.8,117.3
118,118.5
119.1,119.7
120.3,120.9
121.5,122.2
122.8,123.4
124,124.6
125.2,125.8
126.4,126.9
127.4,128
128.5,129.1
129.7,130.3
130.8,131.4
131.9,132.5
133.1,133.7
134.2,134.8
135.4,135.9
136.5,137.1
137.7,138.3
139,139.6
140.2,140.8
141.4,142
142.7,143.3
143.8,144.4
144.9,145.5
146.1,146.7
147.2,147.8
148.3,148.9
149.5,150
150.7,151.2
152,152.6
153.2,153.7
154.3,154.9
155.5,156.1
156.6,157.2
157.8,158.3
158.9,159.4
160.1,160.6
161.3,161.7
162.5,163
163.6,164.2
164.8,165.3
166,166.6
167.2,167.7
168.4,169
169.6,170.2
170.7,171.3
171.8,172.4
172.9,173.5
174.2,174.7
175.3,175.9
176.5,177.1
177.7,178.2
178.9,179.5
180,180.7
181.1,181.7
182.4,183
183.5,184.1
184.7,185.2
185.9,186.3
186.9,187.5
188.1,188.6
189.1,189.8
190.3,191
191.4,192
192.5,193.1
193.6,194.2
194.8,195.4
195.9,196.5
197.1,197.7
198.3,198.9
199.4,200
200.5,201
201.6,202.2
202.7,203.2
203.7,204.3
204.7,205.3
205.9,206.5
207.1,207.6
208.2,208.7
209.3,209.9
210.3,210.9
211.4,212
212.5,213.2
213.7,214.3
214.8,215.3
215.9,216.5
217.2,217.8
218.3,219
219.5,220.1
220.6,221.2
221.6,222.4
222.8,223.4
223.9,224.5
224.9,225.5
226,226.7
227.2,227.7
228.2,228.8
229.3,229.9
230.3,230.9
231.3,232
232.3,233
233.4,234
234.4,235
235.5,236
236.6,237.1
237.6,238.2
238.7,239.2
239.7,240.2
240.6,241.2
241.7,242.3
242.8,243.3
243.8,244.3
