timestamp,ax,ay,az,gx,gy,gz,label
78,0.111572,-0.154663,0.903931,-0.610352,15.808105,5.004883,junk
90,0.120972,-0.147705,0.905029,-0.244141,15.686034,5.187988,junk
101,0.128784,-0.141724,0.913574,0.610352,14.953612,5.065917,junk
112,0.133301,-0.13855,0.92334,2.807617,12.756347,4.02832,junk
123,0.135742,-0.140625,0.928101,3.356933,11.96289,3.173828,junk
135,0.137451,-0.144409,0.929199,3.479004,11.108397,2.319336,junk
146,0.142944,-0.142212,0.93335,3.479004,10.253905,1.342773,junk
157,0.14917,-0.137695,0.935791,3.723144,9.338379,0.244141,junk
168,0.157593,-0.133667,0.93811,4.333496,8.300781,-1.159668,junk
180,0.165771,-0.135742,0.940674,5.065917,7.080078,-2.563476,junk
191,0.171387,-0.143555,0.947144,5.554199,5.615234,-3.90625,junk
202,0.175049,-0.149536,0.957764,4.394531,3.479004,-5.737304,junk
213,0.180542,-0.150757,0.967407,3.479004,3.540039,-5.981445,junk
224,0.188965,-0.150879,0.97229,2.807617,3.601074,-6.286621,junk
236,0.197266,-0.153442,0.97522,2.075195,3.051758,-6.958007,junk
247,0.202271,-0.157959,0.985718,1.220703,1.89209,-7.995605,junk
258,0.202026,-0.15625,0.990479,0.366211,0.549316,-9.033203,junk
269,0.200806,-0.157715,0.994873,-0.305176,-0.732422,-9.765625,junk
280,0.198486,-0.164551,1.001465,-0.732422,-1.831055,-10.19287,junk
292,0.195435,-0.172974,1.010132,-1.403808,-2.502441,-10.131835,junk
303,0.191284,-0.18042,1.016602,-4.02832,-1.098633,-9.399414,junk
314,0.185425,-0.187744,1.017334,-5.615234,0.671387,-9.155273,junk
326,0.180786,-0.194214,1.012451,-6.835937,2.380371,-8.666992,junk
337,0.175537,-0.203857,1.000488,-7.446289,3.540039,-7.873535,junk
348,0.174683,-0.2052,0.99939,-7.751464,4.02832,-6.896972,junk
359,0.178589,-0.204956,1.0,-7.93457,3.90625,-5.737304,junk
371,0.182739,-0.203613,0.99939,-8.117676,3.173828,-4.882812,junk
382,0.186279,-0.199707,0.997192,-8.544922,2.01416,-4.577637,junk
393,0.189575,-0.192261,0.995361,-9.643555,0.427246,-4.089355,junk
404,0.191772,-0.186646,0.992554,-10.0708,0.488281,-3.295898,junk
416,0.193237,-0.184448,0.988403,-10.131835,0.854492,-2.502441,junk
427,0.192505,-0.17981,0.986084,-9.70459,1.464844,-1.831055,junk
438,0.195679,-0.160156,0.988281,-8.422852,2.258301,-1.159668,junk
449,0.198242,-0.150879,0.990356,-6.591796,3.173828,-0.671387,junk
461,0.201172,-0.146118,0.990723,-4.699707,3.845215,-0.427246,junk
472,0.203613,-0.146729,0.98877,-3.173828,4.333496,-0.427246,junk
483,0.206177,-0.146118,0.987061,-1.953125,4.577637,-0.427246,junk
495,0.206665,-0.140015,0.988403,0.12207,3.845215,-1.098633,junk
506,0.205566,-0.131714,0.991455,0.549316,3.601074,-1.647949,junk
517,0.205322,-0.124878,0.994629,0.854492,3.723144,-2.258301,junk
528,0.19873,-0.117676,0.990234,1.098633,4.272461,-2.868652,junk
540,0.196899,-0.114014,0.982544,1.586914,5.187988,-3.417969,junk
551,0.199707,-0.110229,0.976318,2.380371,6.347656,-3.723144,junk
562,0.204102,-0.11145,0.974609,3.112793,7.690429,-3.967285,junk
573,0.208496,-0.116821,0.97522,3.723144,9.094238,-4.516602,junk
585,0.214844,-0.12207,0.976929,2.624511,11.352538,-6.225585,junk
596,0.221436,-0.127319,0.979492,1.281738,12.023925,-6.896972,junk
607,0.224854,-0.133301,0.980225,0.183105,12.08496,-7.568359,junk
618,0.22998,-0.136963,0.97876,0.12207,11.230468,-8.544922,junk
630,0.234985,-0.145752,0.982788,-0.12207,9.338379,-10.0708,junk
641,0.237061,-0.156128,0.989136,-1.953125,6.713867,-12.329101,junk
652,0.238281,-0.164795,0.994995,-4.638672,3.662109,-14.526366,junk
663,0.236816,-0.170044,0.997803,-7.080078,0.671387,-16.052246,junk
675,0.233643,-0.171509,0.995361,-8.850098,-1.647949,-17.028809,junk
686,0.230835,-0.166992,0.988525,-9.521484,-3.295898,-17.272949,junk
697,0.227783,-0.158203,0.979858,-7.8125,-2.685547,-16.479492,junk
708,0.22522,-0.151611,0.97168,-5.126953,-1.586914,-15.258788,junk
720,0.222168,-0.158447,0.959839,-2.441406,-0.366211,-13.85498,junk
731,0.222534,-0.167114,0.959961,-0.671387,0.549316,-12.573241,junk
742,0.221069,-0.175659,0.963745,-0.366211,0.915527,-11.474608,junk
753,0.220459,-0.18042,0.968872,-1.831055,0.549316,-10.742187,junk
765,0.22168,-0.17688,0.974854,-4.577637,-0.244141,-10.131835,junk
776,0.223511,-0.165894,0.981201,-9.82666,-2.563476,-8.422852,junk
787,0.225342,-0.149414,0.986938,-10.375976,-3.295898,-7.385253,junk
798,0.226807,-0.130859,0.990967,-9.399414,-3.417969,-6.347656,junk
810,0.227539,-0.115601,0.993896,-7.080078,-2.807617,-5.310058,junk
821,0.229248,-0.104492,0.992432,-3.784179,-1.220703,-4.211426,junk
832,0.230713,-0.106323,0.993408,-0.12207,1.098633,-2.868652,junk
843,0.230835,-0.109863,0.996948,3.356933,3.967285,-1.220703,junk
855,0.228027,-0.113647,0.99646,5.737304,7.202148,0.366211,junk
866,0.223389,-0.122681,0.992432,6.713867,10.31494,1.220703,junk
877,0.219604,-0.133301,0.986206,3.662109,13.97705,1.342773,junk
888,0.21936,-0.138306,0.978149,0.732422,15.258788,1.525879,junk
900,0.220459,-0.134644,0.968506,-1.770019,16.540527,1.89209,junk
911,0.226318,-0.11145,0.945923,-2.929687,17.63916,2.502441,junk
922,0.232666,-0.099731,0.934204,-2.197266,18.615723,3.295898,junk
