timestamp,ax,ay,az,gx,gy,gz
0,0.236572,-0.206177,1.061646,27.099607,72.08252,2.868652
16,0.261108,-0.216309,1.074585,24.719236,81.787102,9.887695
32,0.299438,-0.285645,1.028198,20.996092,80.871574,15.86914
48,0.316895,-0.31543,1.016357,9.58252,71.044922,26.733397
65,0.355591,-0.312012,1.030762,7.751464,59.814449,28.381346
83,0.198242,-0.240234,1.035889,60.729977,24.414061,31.066893
101,0.316284,-0.501221,1.065186,110.168449,6.04248,20.812986
118,0.333252,-0.595337,1.116089,134.094238,17.883301,6.04248
136,0.323975,-0.543823,1.07666,93.872063,40.52734,39.550781
154,0.383423,-0.556274,1.007202,62.07275,43.945309,68.786621
171,0.41687,-0.429687,0.977539,51.330563,42.846676,76.843262
188,0.441284,-0.301392,0.915771,38.818359,38.879395,81.970207
205,0.453003,-0.253418,0.885986,44.677731,32.714844,71.411133
223,0.478149,-0.190552,0.854126,56.03027,27.709959,63.659664
241,0.502075,-0.200562,0.844116,88.073723,15.624999,53.283688
259,0.530762,-0.260742,0.803833,106.811516,5.126953,52.062984
276,0.541016,-0.282349,0.790649,105.102531,-5.249023,55.114742
293,0.53186,-0.321533,0.807983,105.651848,-12.145995,56.518551
311,0.494629,-0.329712,0.855469,84.167473,-26.123045,62.866207
327,0.486938,-0.320435,0.852051,51.513668,-31.86035,71.777344
344,0.476196,-0.284912,0.838867,39.489746,-31.494139,74.890137
361,0.472412,-0.272217,0.85144,32.348633,-23.254393,75.805664
378,0.470093,-0.276855,0.843506,30.395506,-15.136718,75.683594
395,0.473999,-0.266602,0.777344,23.193357,-15.319823,76.843262
411,0.480713,-0.221924,0.731934,15.319823,-23.742674,78.00293
428,0.481445,-0.211914,0.742676,17.578125,-34.179687,74.829102
445,0.478882,-0.17395,0.777344,32.287598,-34.362793,68.54248
462,0.478516,-0.177368,0.797852,37.475586,-29.113768,65.307617
479,0.477661,-0.199829,0.811279,36.132812,-9.033203,59.570309
496,0.483398,-0.230225,0.810059,22.644041,13.610839,56.518551
513,0.505249,-0.229736,0.791138,17.39502,20.26367,55.603024
530,0.52124,-0.20874,0.784546,9.887695,21.484373,54.199215
546,0.555176,-0.137573,0.772583,8.605957,16.357422,51.757809
563,0.570679,-0.086792,0.751465,11.352538,15.319823,50.170895
580,0.581421,-0.076904,0.731567,16.235352,15.808105,45.471188
597,0.583252,-0.086792,0.735229,21.850584,19.287109,39.367676
614,0.584106,-0.110962,0.733765,20.1416,21.362303,36.621094
632,0.589478,-0.118042,0.703369,9.094238,22.888182,29.907225
648,0.596924,-0.101563,0.689819,-2.990722,19.65332,22.3999
665,0.618774,-0.0979,0.674072,-7.446289,15.747069,19.226074
682,0.624878,-0.123901,0.681519,-4.211426,5.676269,14.038085
699,0.622314,-0.130981,0.689575,-0.671387,-2.563476,10.19287
716,0.617432,-0.157959,0.703369,-1.098633,-5.126953,8.605957
733,0.620483,-0.193726,0.716919,-5.004883,-7.690429,7.019042
750,0.626831,-0.195435,0.724121,-11.901855,-8.605957,7.385253
767,0.633179,-0.178223,0.736084,-13.916015,-9.70459,7.751464
784,0.633423,-0.152588,0.756592,-12.08496,-11.352538,7.324218
801,0.628662,-0.148437,0.765381,-5.004883,-8.850098,6.774902
818,0.616943,-0.161987,0.761597,-1.403808,-3.234863,7.629394
835,0.625122,-0.180786,0.747192,-1.708984,-1.342773,7.263183
852,0.643433,-0.184937,0.744019,-3.356933,-0.915527,6.225585
869,0.647095,-0.176392,0.73877,-6.225585,-2.685547,7.080078
886,0.642944,-0.152832,0.726929,-6.835937,-3.723144,6.896972
903,0.635376,-0.138184,0.724365,-5.187988,-5.859375,4.821777
921,0.630981,-0.140015,0.725464,-1.89209,-6.225585,3.234863
937,0.623291,-0.1521,0.726807,-0.549316,-5.554199,2.929687
954,0.625366,-0.165649,0.718872,1.281738,-4.760742,1.464844
972,0.625488,-0.179321,0.718628,2.13623,-6.469726,-0.549316
988,0.61792,-0.208252,0.735229,1.403808,-7.873535,-0.671387
1005,0.612671,-0.21167,0.759399,0.0,-9.765625,0.305176
1022,0.61145,-0.210449,0.764526,0.549316,-10.253905,1.037598
1039,0.602661,-0.220581,0.776611,2.502441,-10.864257,1.281738
1056,0.592773,-0.234863,0.790405,2.624511,-10.803222,1.220703
