start_time,end_time
5.7,7.9
10,12.4
13.6,15.7
17.4,19.6
20.7,23
24.2,26.4
27.6,29.9
30.8,33.1
34.4,36.9
37.9,40.5
41.5,44.1
45.2,47.7
48.7,51.5
52.4,54.7
55.8,58.4
59.4,61.7
62.8,65.3
66.3,68.8
69.9,72.6
73.6,76.3
77.7,80.1
81.1,83.2
84.4,86.8
87.9,90.1
91.4,94
95.2,97.8
98.7,101.2
102.2,104.5
105.8,108.2
109.3,112
113.1,115.7
116.7,119.3
120.4,122.9
123.9,126.6
127.4,129.9
130.9,133.5
134.4,137
137.8,140.4
141.3,144
144.9,147.4
148.2,151
151.9,154.6
155.6,158.3
159.1,161.8
162.6,165.3
166.1,168.8
169.6,172.5
173.2,175.9
176.6,179.3
180.1,182.8
183.8,186.4
