timestamp,ax,ay,az,gx,gy,gz,label
81,0.140747,-0.207275,0.955444,-0.061035,-1.037598,-3.173828,junk
93,0.138306,-0.210083,0.963989,1.159668,-1.831055,-3.051758,junk
104,0.13208,-0.216309,0.974731,2.990722,-2.746582,-2.441406,junk
115,0.126099,-0.222778,0.976318,2.441406,-1.831055,-2.563476,junk
126,0.12439,-0.226685,0.972046,1.525879,-0.732422,-2.624511,junk
138,0.125244,-0.228394,0.972168,0.488281,0.183105,-2.441406,junk
149,0.131226,-0.226562,0.97937,-0.915527,0.732422,-2.075195,junk
160,0.134644,-0.217896,0.981201,-2.441406,0.854492,-1.647949,junk
171,0.136108,-0.206177,0.980469,-3.295898,0.610352,-1.464844,junk
182,0.136841,-0.197632,0.977417,-2.685547,0.12207,-1.525879,junk
194,0.137695,-0.196533,0.974487,-1.098633,-0.305176,-1.647949,junk
205,0.137695,-0.200317,0.972656,1.037598,-0.671387,-2.624511,junk
216,0.135742,-0.207275,0.970093,0.915527,-0.732422,-3.295898,junk
227,0.133545,-0.215088,0.966675,0.610352,-1.098633,-3.662109,junk
238,0.132812,-0.218018,0.964844,0.427246,-1.708984,-3.601074,junk
250,0.131958,-0.214233,0.969482,0.305176,-2.258301,-3.417969,junk
261,0.127686,-0.218018,0.973022,0.183105,-2.502441,-3.051758,junk
272,0.124756,-0.222046,0.973633,-0.061035,-2.380371,-2.624511,junk
283,0.123657,-0.220215,0.972656,-0.671387,-2.319336,-2.319336,junk
294,0.122559,-0.215454,0.972412,-1.525879,-2.624511,-2.380371,junk
306,0.122314,-0.213623,0.972168,-2.502441,-4.02832,-2.868652,junk
317,0.122803,-0.212646,0.973511,-2.319336,-4.760742,-2.990722,junk
328,0.121582,-0.21228,0.976196,-2.075195,-5.065917,-2.990722,junk
339,0.118042,-0.213379,0.977295,-1.831055,-5.065917,-2.868652,junk
350,0.110962,-0.211304,0.979004,-1.708984,-4.943848,-2.685547,junk
362,0.108032,-0.209351,0.983643,-1.403808,-4.821777,-2.380371,junk
373,0.103638,-0.208008,0.98999,-1.037598,-4.455566,-1.831055,junk
384,0.098877,-0.208984,0.991577,-0.854492,-3.417969,-1.342773,junk
395,0.096924,-0.211792,0.988159,-0.793457,-2.197266,-1.403808,junk
406,0.0979,-0.214111,0.986816,-0.366211,-1.098633,-2.258301,junk
418,0.099365,-0.213379,0.989258,-0.305176,-1.037598,-2.441406,junk
429,0.098877,-0.20874,0.991821,0.061035,-1.098633,-2.380371,junk
440,0.098389,-0.203613,0.993286,0.854492,-1.159668,-2.197266,junk
451,0.098022,-0.201172,0.997803,1.770019,-0.854492,-2.01416,junk
462,0.097412,-0.201416,0.997437,2.258301,0.12207,-1.89209,junk
474,0.097778,-0.201294,0.993408,2.258301,1.586914,-1.953125,junk
485,0.099609,-0.200928,0.987061,2.197266,2.746582,-2.197266,junk
496,0.101685,-0.201172,0.982056,2.197266,3.234863,-2.624511,junk
507,0.102905,-0.203003,0.980713,1.831055,2.563476,-3.173828,junk
518,0.103271,-0.203491,0.981445,1.525879,2.197266,-3.295898,junk
530,0.103516,-0.203735,0.981567,1.525879,2.13623,-3.295898,junk
541,0.104492,-0.206909,0.980591,1.647949,2.319336,-3.234863,junk
552,0.105103,-0.214844,0.977783,1.525879,2.624511,-3.112793,junk
563,0.106445,-0.215698,0.97644,1.098633,2.807617,-2.990722,junk
