ax,ay,az,gx,gy,gz,label
0.083740,-0.284790,0.917847,4.333496,5.249023,-1.281738,junk
0.082520,-0.287720,0.934326,4.699707,5.310058,-2.624511,junk
0.079346,-0.291016,0.947754,5.920410,5.493164,-4.272461,junk
0.076416,-0.296997,0.953735,9.765625,5.615234,-7.202148,junk
0.078003,-0.304932,0.954468,11.047362,5.432128,-8.300781,junk
0.083496,-0.312134,0.953369,11.474608,4.943848,-9.277344,junk
0.102783,-0.318115,0.953003,11.474608,4.211426,-10.253905,junk
0.114136,-0.319946,0.954956,11.230468,3.723144,-11.291503,junk
0.122681,-0.321411,0.957153,10.681151,3.723144,-12.145995,junk
0.127197,-0.321777,0.958862,9.826660,4.150391,-12.878417,junk
0.127441,-0.320557,0.959595,9.033203,4.638672,-13.549804,junk
0.124756,-0.318726,0.961060,8.911133,5.737304,-15.014647,junk
0.120850,-0.318604,0.964844,9.704590,6.347656,-15.624999,junk
0.119873,-0.322021,0.970215,10.375976,7.080078,-16.113281,junk
0.123535,-0.325439,0.973633,10.864257,7.995605,-16.784668,junk
0.138306,-0.329834,0.966431,11.108397,8.666992,-17.944336,junk
0.143066,-0.332642,0.960693,11.047362,8.789062,-19.409180,junk
0.144775,-0.336304,0.956421,10.864257,8.544922,-20.874022,junk
0.144531,-0.340576,0.954834,10.864257,8.361816,-22.094725,junk
0.144531,-0.342529,0.953003,11.169433,8.666992,-22.644041,junk
0.145142,-0.344849,0.950073,12.817382,10.925292,-22.949217,junk
0.144531,-0.348999,0.946411,13.854980,12.695312,-23.071287,junk
0.141357,-0.353394,0.942017,14.953612,14.892577,-23.132322,junk
0.140259,-0.371582,0.935059,15.563964,17.211914,-23.071287,junk
0.146240,-0.384277,0.930420,15.136718,19.226074,-23.071287,junk
0.155029,-0.388306,0.922363,13.366698,20.629881,-23.254393,junk
0.165161,-0.384644,0.912354,11.047362,21.301268,-23.620604,junk
0.172485,-0.378540,0.902954,9.033203,20.996092,-23.986814,junk
0.174316,-0.372070,0.894165,7.934570,18.188477,-24.841307,junk
0.172852,-0.364746,0.883789,8.422852,16.296387,-25.573729,junk
0.170166,-0.359985,0.873413,9.216309,14.099120,-26.367186,junk
0.164673,-0.356567,0.868774,10.070800,12.268065,-26.855467,junk
0.158936,-0.343384,0.868652,10.986327,11.230468,-27.160643,junk
0.165894,-0.341064,0.866455,12.329101,11.047362,-27.526854,junk
0.176636,-0.342529,0.866089,14.282226,11.230468,-28.015135,junk
0.187622,-0.351074,0.864990,15.686034,11.535644,-28.625486,junk
0.197632,-0.362793,0.862671,15.869140,11.535644,-29.479979,junk
0.203613,-0.367798,0.862793,14.587401,9.582520,-30.395506,junk
0.205566,-0.373535,0.863159,13.916015,7.873535,-30.700682,junk
0.206543,-0.384277,0.863892,12.512206,5.737304,-31.127928,junk
0.205322,-0.398560,0.871948,9.826660,3.479004,-31.799314,junk
0.199951,-0.400024,0.873047,6.408691,1.403808,-32.592773,junk
0.190552,-0.398315,0.872681,3.601074,-0.183105,-33.081055,junk
0.180786,-0.394287,0.871338,3.051758,-0.976562,-32.775879,junk
0.175659,-0.394409,0.866211,4.760742,-0.671387,-32.043457,junk
0.174561,-0.401978,0.863159,10.131835,0.244141,-31.127928,junk
0.173584,-0.413330,0.868042,10.925292,0.122070,-31.127928,junk
0.172119,-0.424561,0.877319,9.643555,-0.305176,-31.372068,junk
0.171143,-0.435303,0.885986,7.019042,-1.037598,-31.555174,junk
0.164062,-0.457153,0.903320,4.150391,-2.014160,-31.311033,junk
0.157715,-0.465332,0.908569,1.647949,-2.746582,-30.700682,junk
0.153320,-0.469360,0.907471,-0.183105,-3.112793,-29.724119,junk
0.150024,-0.470093,0.903687,-1.281738,-3.051758,-28.625486,junk
0.144531,-0.467773,0.900146,-1.525879,-2.746582,-27.404783,junk
0.137085,-0.459595,0.898926,1.159668,-1.037598,-24.780272,junk
0.133545,-0.449219,0.897339,4.516602,0.244141,-24.230955,junk
0.134766,-0.444946,0.895874,8.911133,1.098633,-24.475096,junk
0.137939,-0.450439,0.898071,12.939452,1.403808,-24.780272,junk
0.145386,-0.471558,0.896118,15.380858,1.403808,-24.719236,junk
0.147705,-0.476440,0.892700,15.441894,1.098633,-24.108885,junk
0.143555,-0.469604,0.891846,14.038085,0.305176,-23.315428,junk
0.137817,-0.468018,0.899170,14.465331,-0.671387,-22.644041,junk
0.133057,-0.490112,0.907959,17.333984,-0.610352,-21.179197,junk
0.124512,-0.510498,0.901978,19.897461,4.638672,-14.892577,junk
0.120361,-0.508545,0.890991,18.554688,7.873535,-12.878417,junk
0.120728,-0.490845,0.892090,16.845703,11.291503,-12.023925,junk
0.116333,-0.484253,0.889160,16.235352,15.075683,-12.084960,junk
0.119019,-0.503418,0.886108,16.662598,18.615723,-12.268065,junk
0.128784,-0.510010,0.885132,16.052246,21.606443,-11.840819,junk
0.145264,-0.492920,0.884155,13.305663,23.864744,-10.864257,junk
0.159912,-0.466797,0.882446,10.375976,24.841307,-9.826660,junk
0.166260,-0.456299,0.880493,8.544922,22.949217,-8.300781,junk
0.166504,-0.465210,0.878784,7.507324,20.568846,-7.995605,junk
0.162231,-0.483521,0.877441,5.432128,17.578125,-8.117676,junk
0.155273,-0.498047,0.876221,2.319336,14.526366,-8.483887,junk
0.143066,-0.473877,0.864502,-0.305176,11.901855,-9.582520,junk
0.142456,-0.455566,0.857544,-0.183105,9.521484,-11.291503,junk
0.141724,-0.455566,0.854980,3.295898,7.019042,-13.061522,junk
0.136353,-0.468506,0.855347,8.056641,4.455566,-14.343261,junk
0.128052,-0.484375,0.860962,11.779784,2.380371,-15.075683,junk
0.121460,-0.499268,0.875122,15.014647,2.563476,-13.244628,junk
0.119751,-0.505005,0.887817,13.488769,5.859375,-11.413573,junk
0.122681,-0.501709,0.890259,10.742187,9.582520,-9.887695,junk
0.131226,-0.492554,0.881958,7.873535,11.962890,-8.850098,junk
0.139526,-0.487671,0.882935,5.249023,12.634276,-8.544922,junk
0.145630,-0.481201,0.885742,3.356933,11.840819,-8.911133,junk
0.150757,-0.474121,0.883667,2.868652,10.437011,-9.826660,junk
0.156128,-0.472900,0.878174,3.295898,8.728027,-10.986327,junk
0.161011,-0.472778,0.873535,0.854492,4.638672,-14.160155,junk
0.163940,-0.463257,0.864258,-2.075195,1.892090,-16.418457,junk
0.161011,-0.451416,0.852051,-3.417969,-1.220703,-18.554688,junk
0.152466,-0.448242,0.847778,-2.990722,-3.784179,-19.714355,junk
0.140137,-0.460571,0.855347,-2.502441,-4.943848,-19.958496,junk
0.138306,-0.469116,0.857666,-2.624511,-5.065917,-20.141600,junk
0.136108,-0.477905,0.857910,-2.807617,-5.004883,-20.629881,junk
0.132935,-0.485229,0.855835,-2.868652,-5.310058,-21.362303,junk
0.128662,-0.490112,0.852539,-3.173828,-5.981445,-21.972654,junk
0.121948,-0.492065,0.849487,-3.051758,-7.141113,-22.399900,junk
0.113037,-0.489746,0.848389,-1.892090,-6.896972,-21.789549,junk
0.104126,-0.480835,0.848877,-0.183105,-5.920410,-20.751951,junk
0.095947,-0.469116,0.846436,1.525879,-4.699707,-19.775391,junk
0.096802,-0.468750,0.843872,2.807617,-4.028320,-19.592285,junk
0.099365,-0.466553,0.846069,3.662109,-4.333496,-20.202635,junk
0.102905,-0.467285,0.851685,4.089355,-5.432128,-21.240232,junk
0.105103,-0.472656,0.857178,3.906250,-6.896972,-22.399900,junk
0.106323,-0.476318,0.860718,2.685547,-9.460449,-24.108885,junk
0.106689,-0.476685,0.863281,1.770019,-9.826660,-24.414061,junk
0.105469,-0.470947,0.864136,1.159668,-9.582520,-24.047850,junk
0.102783,-0.461182,0.860840,1.037598,-8.728027,-23.132322,junk
0.094238,-0.456543,0.848877,1.281738,-7.507324,-22.521971,junk
0.093750,-0.456299,0.843506,1.342773,-6.286621,-22.705076,junk
0.095215,-0.457886,0.834717,0.427246,-5.615234,-23.681639,junk
0.096802,-0.454346,0.823364,-1.342773,-5.798339,-25.207518,junk
0.097778,-0.444702,0.809692,-3.112793,-6.896972,-26.794432,junk
0.098145,-0.432007,0.795044,-5.249023,-11.718749,-29.846189,junk
0.097656,-0.419678,0.781616,-6.042480,-15.686034,-31.677244,junk
0.092651,-0.412109,0.775391,-6.896972,-20.263670,-33.630371,junk
