ax,ay,az,gx,gy,gz,label
0.212402,-0.316406,0.971436,-7.995605,4.272461,-1.403808,junk
0.260742,-0.295532,0.938354,-1.586914,15.258788,2.929687,junk
0.267456,-0.287231,0.927002,-10.681151,18.005371,4.150391,junk
0.288574,-0.281128,0.965576,-8.666992,19.836426,4.821777,junk
0.303589,-0.280029,0.929932,0.549316,22.888182,7.629394,junk
0.299072,-0.287598,0.921997,0.793457,21.484373,7.385253,junk
0.288086,-0.294434,0.935059,-0.366211,22.216795,5.737304,junk
0.285034,-0.285156,0.934692,-4.211426,25.085447,2.13623,junk
0.283447,-0.276123,0.934448,-3.540039,24.475096,-1.220703,junk
0.290649,-0.248535,0.937378,1.708984,23.071287,-3.173828,junk
0.299683,-0.249023,0.937988,16.113281,17.578125,-5.493164,junk
0.279053,-0.274414,0.952515,31.616209,13.000487,-7.93457,junk
0.222534,-0.314087,0.971802,42.66357,22.27783,-11.779784,junk
0.202026,-0.324463,0.961792,45.532223,28.442381,-13.427733,junk
0.212769,-0.341309,0.950806,46.936031,34.179687,-16.357422,junk
0.2052,-0.344116,0.945068,48.034664,31.494139,-20.507811,junk
0.184204,-0.389038,0.952515,48.889156,27.832029,-22.888182,junk
0.1698,-0.437256,1.001099,46.508785,16.174316,-25.512693,junk
0.156494,-0.454834,1.0271,43.762203,7.507324,-25.817869,junk
0.134521,-0.48645,1.05896,45.837399,6.652832,-25.146482,junk
0.144531,-0.477905,1.06897,55.541988,12.695312,-21.545408,junk
0.164795,-0.478394,1.067871,69.580078,23.437498,-17.150879,junk
0.214722,-0.504028,1.058105,74.34082,27.404783,-14.404296,junk
0.240845,-0.542603,1.043457,71.655273,31.86035,-7.690429,junk
0.24353,-0.547729,1.040527,59.020992,36.743164,-1.342773,junk
0.261719,-0.523437,1.031006,52.429195,42.480465,1.342773,junk
0.282349,-0.528687,1.022583,39.306641,55.053707,4.760742,junk
0.347412,-0.528076,1.013184,35.095215,58.105465,5.737304,junk
0.422852,-0.480225,0.992432,38.879395,60.302731,7.446289,junk
0.442017,-0.501099,0.977905,52.490231,63.415524,6.347656,junk
0.453125,-0.541504,0.951416,59.448238,65.307617,4.211426,junk
0.466309,-0.553589,0.937256,75.073242,72.998047,0.061035,junk
0.496338,-0.631714,0.85498,83.06884,80.871574,0.12207,junk
0.501099,-0.72644,0.75061,89.233391,98.754875,3.601074,junk
0.506226,-0.752075,0.719849,85.266106,112.18261,6.958007,junk
0.527954,-0.77063,0.658569,83.923332,120.36132,13.305663,junk
