start_time,end_time
2.4,4.4
7,9.1
11.6,13.5
15.9,17.8
20.5,22.3
24.7,26.7
29.2,30.9
33.7,35.6
38.5,40.4
43.2,45.1
47.8,49.6
52.4,54.3
56.9,58.9
61.4,63.4
65.8,67.8
70.7,72.7
75.7,77.9
80.7,82.9
86.4,88.4
91.3,93.3
96.2,98.2
101.1,103.2
105.7,107.7
110.3,112.3
114.9,116.9
119.6,121.5
124.3,126.2
128.8,130.8
133.8,135.8
139.1,141
143.8,145.9
149.2,151.1
154,156
158.6,160.4
163.1,164.9
167.4,169.1
171.9,173.7
176.6,178.5
181.5,183.3
186.4,188.4
191.6,193.3
196.4,198.3
201.5,203.2
206.3,208.2
211,212.8
215.6,217.5
220,221.9
224.7,226.7
229.3,231.2
233.6,235.1
