timestamp,ax,ay,az,gx,gy,gz
timestamp,ax,ay,az,gx,gy,gz
IMU initialized. Recording at ~88 Hz...
5079125,0.131714,-0.111572,0.966919,1.220703,3.601074,16.723633
5095676,0.137329,-0.097900,0.986572,-2.258301,3.967285,16.052246
5112335,0.149658,-0.071533,1.002197,-5.065917,4.028320,15.197753
5128938,0.150146,-0.054321,1.010132,-7.141113,4.089355,13.244628
5145573,0.151001,-0.051147,1.009277,-3.356933,4.943848,12.084960
5162285,0.152832,-0.059448,1.000122,-0.610352,4.760742,11.657714
5179014,0.154053,-0.073120,1.005615,1.464844,3.845215,10.559081
5195575,0.153687,-0.076416,1.007446,0.427246,4.638672,9.155273
5212301,0.160767,-0.067627,1.000977,-0.305176,5.737304,8.972168
5228905,0.165894,-0.068115,0.995117,-1.037598,8.361816,8.911133
5245614,0.171265,-0.067017,0.984375,-0.671387,9.094238,8.544922
5263002,0.174927,-0.071289,0.994873,0.244141,10.192870,7.263183
5279603,0.181763,-0.067749,1.001221,0.305176,11.840819,5.004883
5296335,0.192627,-0.072388,1.001099,0.732422,11.474608,3.967285
5312995,0.192017,-0.070557,0.998047,0.305176,8.483887,2.319336
5329575,0.191895,-0.066162,1.001709,0.793457,8.361816,1.220703
5346168,0.191040,-0.076416,1.006836,1.647949,10.253905,0.427246
5362799,0.192383,-0.087036,0.992432,-0.122070,14.587401,-0.854492
5379568,0.190308,-0.099121,0.980225,-2.258301,15.136718,-0.976562
5396362,0.188843,-0.090210,0.992920,-3.784179,14.404296,-0.061035
5413023,0.189575,-0.083740,0.997192,0.244141,15.441894,2.441406
5429614,0.201172,-0.069702,0.992065,3.906250,16.845703,3.723144
5446212,0.226196,-0.066406,0.984619,10.742187,18.432617,5.981445
5462958,0.241699,-0.062012,0.979614,13.000487,19.226074,7.873535
5479595,0.254028,-0.058105,0.982422,11.901855,19.348145,8.544922
5496144,0.248047,-0.062866,0.982910,4.760742,18.371582,9.277344
5512788,0.232666,-0.089844,0.973511,-0.305176,17.395020,9.826660
5529491,0.240112,-0.075928,0.960815,-7.812500,13.610839,11.047362
5546174,0.250854,-0.054810,0.957886,-4.943848,8.056641,11.718749
5562954,0.265015,-0.058105,0.945801,-0.976562,5.371093,12.451171
5579734,0.270874,-0.067139,0.940430,2.868652,1.586914,13.488769
5596570,0.283813,-0.064697,0.935059,1.892090,-0.976562,13.977050
5613394,0.293335,-0.062256,0.951660,2.136230,-2.319336,14.099120
5630252,0.295532,-0.061035,0.957275,2.807617,-4.333496,13.549804
5647538,0.288330,-0.067139,0.962036,2.075195,-5.249023,12.329101
5664167,0.259033,-0.065918,0.982056,-2.502441,-7.263183,9.765625
5680909,0.243042,-0.065796,0.998047,-6.958007,-6.408691,9.643555
5697822,0.229126,-0.058228,1.009399,-8.117676,-5.065917,9.765625
5714694,0.224976,-0.041748,0.995361,-6.469726,-2.746582,8.544922
5731516,0.225464,-0.044678,0.989624,-0.549316,-2.685547,7.202148
5748354,0.237305,-0.045410,0.979980,1.159668,-2.685547,7.019042
5765014,0.254028,-0.030273,0.960571,1.220703,-2.441406,6.408691
5781657,0.260132,-0.026245,0.948853,0.366211,-2.746582,5.371093
5798269,0.258179,-0.041504,0.950439,-0.366211,-3.051758,4.699707
5815015,0.251099,-0.052490,0.961182,-3.540039,-3.906250,2.685547
5831744,0.239746,-0.058594,0.982544,-5.615234,-4.638672,1.342773
5848471,0.232422,-0.045654,0.997559,-7.690429,-5.371093,-1.342773
5865328,0.230835,-0.039429,0.994263,-4.699707,-3.784179,-2.685547
5882281,0.223999,-0.037842,0.994995,-2.075195,-2.746582,-2.441406
5899241,0.222900,-0.036621,0.999878,1.708984,0.366211,-1.647949
5915996,0.218994,-0.048218,1.007446,1.464844,2.380371,-2.624511
5932797,0.210205,-0.055420,1.008423,-1.037598,3.417969,-3.417969
5949574,0.213257,-0.049438,1.000244,-6.042480,6.286621,-3.784179
5966330,0.233643,-0.027832,0.984253,-6.103515,7.629394,-3.356933
5983043,0.249878,-0.010010,0.964966,-0.793457,8.972168,-2.990722
5999804,0.251587,-0.010376,0.957153,5.371093,8.117676,-3.601074
6016625,0.246704,-0.027222,0.945435,6.469726,7.995605,-4.028320
6033379,0.251587,-0.033813,0.931763,3.234863,8.911133,-4.821777
6050097,0.257324,-0.026855,0.927368,-1.281738,8.666992,-5.920410
6066904,0.267090,-0.024170,0.921265,-2.258301,7.568359,-6.835937
6083685,0.270142,-0.025879,0.923340,-1.647949,4.760742,-8.789063
6100602,0.271606,-0.029175,0.929199,1.708984,1.464844,-9.155273
6117343,0.271118,-0.040405,0.939819,3.112793,-0.061035,-8.972168
6134112,0.268433,-0.050293,0.947266,2.258301,-1.708984,-9.094238
6150840,0.262207,-0.056152,0.955688,-0.122070,-2.075195,-9.460449
6167704,0.253540,-0.037964,0.964844,-4.089355,-2.258301,-10.131835
6184697,0.247925,-0.032837,0.970093,-1.708984,-1.159668,-10.437011
6201566,0.238403,-0.048340,0.972778,0.122070,-0.671387,-10.620116
6218293,0.237915,-0.056396,0.968750,1.586914,-0.305176,-11.413573
6235119,0.239624,-0.058960,0.969238,2.075195,-1.647949,-12.145995
6251910,0.243286,-0.065063,0.965820,1.403808,-2.319336,-12.634276
6268609,0.242798,-0.060303,0.963867,-2.319336,-2.868652,-13.732909
6285430,0.239624,-0.047607,0.966309,-3.540039,-2.258301,-13.427733
6302341,0.239258,-0.056152,0.971069,-3.417969,-1.586914,-12.817382
6319090,0.242187,-0.058960,0.973389,-1.770019,-0.915527,-11.901855
6335880,0.249023,-0.064575,0.972656,-0.122070,-1.586914,-11.901855
6352690,0.239868,-0.071045,0.981201,2.685547,-4.272461,-12.634276
6369590,0.232056,-0.077515,0.985596,3.112793,-5.859375,-12.756347
6386316,0.223267,-0.088135,0.984009,1.892090,-4.760742,-12.084960
6403022,0.235596,-0.093994,0.974731,-0.488281,-1.525879,-10.131835
6419968,0.245117,-0.092896,0.979736,-2.258301,-2.380371,-8.911133
6436748,0.242310,-0.077148,1.001831,-2.990722,-3.662109,-8.544922
6453588,0.233398,-0.066772,1.006592,-3.173828,-4.455566,-8.178711
6470460,0.223389,-0.058228,0.992310,-3.051758,-3.356933,-8.056641
6487539,0.232666,-0.064453,0.975464,-2.685547,-0.122070,-7.324218
6504392,0.237183,-0.069336,0.968262,-2.380371,0.915527,-7.385253
6521256,0.235962,-0.078613,0.975220,-2.807617,0.244141,-7.507324
6538099,0.232178,-0.078369,0.991577,-4.699707,-2.075195,-7.690429
6554944,0.228760,-0.071655,0.996216,-3.356933,-3.723144,-7.385253
6571816,0.224121,-0.059814,0.995239,-0.061035,-3.784179,-7.141113
6588685,0.229126,-0.059204,0.992798,7.690429,-2.624511,-6.164550
6605412,0.233032,-0.067871,0.990479,9.643555,-1.770019,-6.103515
6622258,0.237915,-0.083618,0.986328,7.202148,-2.075195,-6.896972
6638978,0.236450,-0.081909,0.984131,0.549316,-4.028320,-9.338379
6656148,0.228149,-0.065796,0.980957,0.854492,-6.469726,-10.437011
6672842,0.213379,-0.067627,0.983032,2.807617,-6.713867,-10.864257
6689549,0.206543,-0.069702,0.980835,3.967285,-5.554199,-11.657714
6706299,0.205078,-0.064575,0.973755,3.479004,-4.638672,-12.023925
6723210,0.203735,-0.066162,0.973633,2.197266,-4.394531,-13.732909
6739889,0.198975,-0.065308,0.976929,1.220703,-7.934570,-16.296387
6756656,0.185181,-0.067017,0.979370,0.244141,-9.948730,-17.761230
6773543,0.178223,-0.049438,0.974243,-2.929687,-10.498046,-19.897461
6790457,0.176514,-0.041260,0.967773,-2.136230,-7.324218,-21.545408
6807329,0.161865,-0.062134,0.957397,0.793457,-5.493164,-22.399900
6824262,0.153564,-0.092407,0.955444,4.089355,-2.563476,-23.925779
6841040,0.150879,-0.134766,0.934082,-3.417969,-0.732422,-23.620604
6857955,0.161865,-0.117676,0.914429,-6.225585,-1.525879,-23.193357
6874779,0.165161,-0.109253,0.916870,-3.173828,-5.249023,-23.803709
6891698,0.160889,-0.111938,0.914795,0.793457,-6.591796,-24.169920
6908471,0.161621,-0.133545,0.904419,7.263183,-8.056641,-23.132322
6925323,0.164429,-0.142578,0.910278,6.164550,-9.582520,-20.812986
6942073,0.162842,-0.153320,0.942993,4.211426,-11.108397,-20.141600
6958796,0.143677,-0.155640,0.969971,0.793457,-15.747069,-18.798828
6975623,0.133179,-0.150269,0.981689,-0.976562,-18.676758,-14.953612
6992333,0.122437,-0.133911,1.002930,-0.854492,-18.310547,-12.207030
7009379,0.125854,-0.125244,1.003296,0.549316,-13.549804,-6.713867
7026176,0.138672,-0.097168,0.999512,3.112793,-6.652832,-0.854492
